ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Dataset,SubGroup
amawaka,Amawaka,amah1246,Amahuaca,amc,South America,-10.2012,-72.3208,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
araona,Araona,arao1248,Araona,aro,South America,-12.4242,-67.7293,Pano-Tacanan,"blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana",Takana
arasa,Arasa,araz1236,Arazaire,,South America,-13.25,-70.8,Pano-Tacanan,"girardprototakanan, valenzuelazariquieypanotakana",Takana
cavinena,Cavineña,cavi1250,Cavineña,cav,South America,-13.3544,-66.6277,Pano-Tacanan,"blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana",Takana
chakobo,Chákobo,chac1251,Chácobo,cao,South America,-12.133,-66.7164,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
chama,Chama,cham1314,Chama subgroup,,,,,Pano-Tacanan,valenzuelazariquieypanotakana,Pano
chaninawa,Chanináwa,shan1283,Shanenawa,swo,South America,-8.00919,-73.3264,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
eseejja,Ese Ejja,esee1248,Ese Ejja,ese,South America,-11.7268,-67.515,Pano-Tacanan,"blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana",Takana
iskonawa,Iskonawa,isco1239,Isconahua,isc,South America,-7.75236,-74.5193,Pano-Tacanan,blumpanotacana,Pano
kapanawa,Kapanawa,capa1241,Capanahua,kaq,South America,-6.63254,-74.3813,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
kasharari,Kashararí,kaxa1239,Kaxararí,ktx,South America,-9.47288,-66.3329,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
kashibo,Kashibo,cash1251,Cashibo-Cacataibo,cbr,South America,-8.70232,-75.4206,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
katukina,Katukina,pano1254,Panoan Katukína,knt,South America,-7.97456,-71.56151,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
kaxinawa,Kaxinawá,cash1254,Cashinahua,cbs,South America,-9.72027,-71.1733,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
korubo,Korúbo,koru1247,Korubo,xor,South America,-5.3655,-70.5094,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
mabenaro,Mabenaro,mabe1235,Mabenaro,,South America,-11.543809,-68.277741,Pano-Tacanan,"girardprototakanan, valenzuelazariquieypanotakana",Pano
marinawa,Marináwa,mari1443,Marinahua,,South America,,,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
marubo,Marúbo,maru1252,Marúbo,mzr,South America,-6.60703,-72.4027,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
matis,Matís,mati1255,Matís,mpq,South America,-4.3553,-70.2079,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
matses,Matses,mats1244,Matsés,mcf,South America,-5.73914,-72.6281,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
poyanawa,Poyanáwa,poya1241,Poyanáwa,pyn,South America,-7.46909,-73.0758,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
protopanoan,Proto-Panoan,pano1256,Panoan,,,,,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana, girardprotopanotakanan",Pano
protopanotakana,Proto-Pano-Takana,pano1259,Pano-Tacanan,,,,,Pano-Tacanan,"valenzuelazariquieypanotakana, girardprotopanotakanan",Pano
prototakana,ProtoTakana,taca1255,Tacanan,,,,,Pano-Tacanan,"girardprototakanan, girardprotopanotakanan",Takana
sharanawa,Sharanawa,shar1245,Sharanahua,mcd,South America,-9.8626,-71.1232,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
shipibokonibo,Shipibo-Konibo,ship1254,Shipibo-Conibo,shp,South America,-7.17105,-74.8219,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
tacana,Tacana,taca1256,Tacana,tna,South America,-13.39249,-68.04056,Pano-Tacanan,"blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana",Pano
warayo,Warayo,guar1292,Guarayu,gyr,South America,-15.8247,-61.6934,Tupian,valenzuelazariquieypanotakana,Takana
warisa,Warisa,reye1240,Reyesano,rey,South America,-14.8333,-67.0833,Pano-Tacanan,"girardprototakanan, valenzuelazariquieypanotakana",Takana
yaminawa,Yaminawa,yami1256,Yaminahua,yaa,South America,-9.8846,-71.5964,Pano-Tacanan,"blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
yawanawa,Yawanawá,yawa1260,Yawanawa,ywn,South America,-8.87563,-71.8199,Pano-Tacanan,"oliveiraprotopanoan, valenzuelazariquieypanotakana",Pano
